country,date,land
Germany,1/1/80,185190
Germany,1/1/81,184610
Germany,1/1/82,183960
Germany,1/1/83,183300
Germany,1/1/84,182840
Germany,1/1/85,182440
Germany,1/1/86,182080
Germany,1/1/87,181250
Germany,1/1/88,180970
Germany,1/1/89,180560
Germany,1/1/90,180320
Germany,1/1/91,171360
Germany,1/1/92,169510
Germany,1/1/93,171620
Germany,1/1/94,173080
Germany,1/1/95,173430
Germany,1/1/96,173370
Germany,1/1/97,173270
Germany,1/1/98,173730
Germany,1/1/99,171520
Germany,1/1/00,170680
Germany,1/1/01,170340
Germany,1/1/02,169670
Germany,1/1/03,170010
Germany,1/1/04,170130
Germany,1/1/05,170310
Germany,1/1/06,169460
Germany,1/1/07,169500
Germany,1/1/08,169210
Germany,1/1/09,168860
Germany,1/1/10,167000
Germany,1/1/11,167190
Germany,1/1/12,166640
Germany,1/1/13,166970
Germany,1/1/14,
Germany,1/1/15,
